var,coef,word frequency
are,-0.100027735,2601
a,0.020571951,25088
composer,-0.146650957,189
performer,0.635791522,109
group,0.245899471,818
with,0.461743184,15173
reputation,-0.411569083,79
for,0.114851032,11734
creating,0.35426837,845
exciting,0.229687475,188
collaborative,0.10674145,322
experimental,0.775807964,161
music,-0.036290423,3574
&,0.029201903,19009
producing,-0.824653588,228
high,0.224337644,1016
quality,0.248771097,1070
performances,-0.038436647,1516
in,-0.103205412,19297
april,-0.464862647,113
and,-0.024303192,31280
may,-0.371776995,352
2022,0.070516198,826
we,-0.038281206,6198
will,0.032474645,18343
take,0.223523555,800
the,-0.009434497,39769
ambitious,0.072902116,280
artistic,0.266555946,894
step,0.028790227,114
of,-0.030356382,26438
developing,-0.183303437,716
our,0.013752103,6056
practice,0.092453301,789
into,0.104364786,1529
co,-0.113255085,1245
creation,-0.409591311,604
making,0.253534967,771
40,0.030875956,136
minute,-0.140317957,157
piece,0.439060913,999
together,-0.133718298,841
which,-0.033690898,1826
draws,0.668313925,42
on,-0.077295785,6092
experience,-0.020523636,1655
performance,0.078448477,2150
fine,-0.453875185,30
art,0.05106876,2087
theatre,-0.219923405,3123
premiere,-0.342975026,195
this,0.063827744,4938
at,0.050095594,5685
sheffield,0.386482938,137
chamber,-0.477339891,61
festival,-0.521723361,1828
then,0.264803252,496
perform,0.028432811,506
it,0.040552708,2579
twice,0.198224874,28
london,-0.224601439,1023
each,-0.123235947,1085
also,0.219599575,1346
featuring,-0.436019028,288
set,-0.247170998,570
by,-0.026759483,6698
guest,-0.025921379,116
artist,-0.218874663,1441
contribute,0.059038104,144
to,0.015401975,29334
workshop,-0.475952915,968
amateur,-0.25044666,72
musicians,-0.493339544,831
local,0.134105161,3334
school,0.281228162,790
students,-0.276315863,521
be,-0.071390604,6409
filmed,0.633972211,171
share,0.103543284,610
online,0.230247467,1258
,-0.003601044,12977
highlight,-0.870639886,88
effects,0.115316345,91
releases,-0.456934039,22
material,0.141949957,292
sea,0.113147976,105
around,-0.576327963,739
two,-0.14790368,1000
nuclear,-0.227305537,14
i,0.02007689,2071
build,-0.078737667,842
partnerships,-0.213706806,421
royal,-0.479635774,181
groups,0.019373778,1103
affected,0.086662537,79
pollution,0.93595683,29
through,0.074629187,3000
research,-0.345433936,974
residency,0.128749019,330
park,0.16434439,202
visits,-0.62743461,77
plymouth,-0.709506673,64
create,-0.085993382,2480
4,0.043889132,1270
interventions,-0.058590311,49
use,-0.179451124,778
as,-0.156774544,5247
creative,-0.016793163,3550
tools,-0.316589419,126
up,0.090633791,1104
10,0.009318857,739
documented,-0.226255576,45
conversations,0.250379388,212
individuals,0.034124835,205
lead,0.031385288,417
new,-0.151157369,5496
collection,0.046954694,216
works,0.117375929,541
communicate,0.374532287,41
story,0.121725164,931
raise,0.034517327,208
awareness,0.092715939,284
develop,-0.039407469,2556
way,-0.066330637,387
working,0.102047651,1595
ambition,0.097461842,140
scale,0.310005198,441
supported,0.002243197,627
team,-0.288113892,952
mentoring,0.388156498,482
museum,0.545864834,300
engagement,-0.017005942,1122
specialists,0.246048074,67
test,-0.046633275,314
produce,-0.250222322,477
ideas,-0.320250589,409
exhibit,-0.430725706,113
work,0.177361593,5133
v,0.201782049,19
venue,-0.120748963,469
first,-0.22697388,913
national,-0.19359467,635
tour,0.265529391,1468
funding,-0.285042397,539
support,0.015949377,2038
us,0.009409307,907
large,-0.010753203,327
understand,-0.272431586,135
challenges,-0.496342687,196
touring,0.13050506,735
want,-0.058246597,537
budget,-1.127071453,61
able,0.138354041,213
reflect,-0.450523769,171
that,-0.030368068,3566
goes,0.061577191,32
is,-0.017613289,6418
collaboration,-0.25179062,610
discourse,-0.225198891,40
from,0.079623445,5368
ace,0.121097309,582
allow,-0.282554465,348
fairly,0.08874567,31
pay,-0.079598022,127
teams,0.596662145,66
both,-0.126176646,609
companies,0.501746561,87
received,0.160360802,119
its,0.107356126,967
run,0.024182472,883
tales,0.125419071,62
star,-0.460295131,35
city,-0.185317059,442
king’s,0.447093353,21
head,0.360600873,59
2019,0.102080203,153
an,-0.122779014,5330
aim,0.104563501,690
only,0.304284487,258
possible,-0.399020434,124
now,-0.038388484,435
after,0.23307407,490
covid,-0.188320658,335
related,-0.643906314,71
"
we",-0.019773729,201
looking,0.626997393,136
forward,-0.041132872,65
learning,-0.197276077,648
other’s,0.235527693,12
processes,-0.701914045,102
establishing,-0.518290954,70
level,-0.361889805,201
building,-0.237811577,681
relationships,0.575044925,428
audiences,0.053464035,2739
theatres,0.225078603,181
across,-0.196400201,1273
audio,0.137567853,422
drama,-0.095955642,296
comprised,0.489389453,14
five,0.121391858,140
30,0.035802059,290
episodes,0.059364066,40
released,0.069212351,95
all,-0.045210142,1490
podcast,0.179715959,157
platforms,0.254949043,148
old,0.23475997,307
friends,0.550902559,98
come,0.326988685,220
face,-0.403195469,169
time,0.058808615,825
years,0.125287422,667
forced,-0.482534692,47
past,0.465491051,215
struggling,-0.372409175,50
present,0.267072895,512
journey,-0.197386272,258
protagonist,0.524118195,20
beth,0.187470229,11
explores,-0.033824895,413
how,-0.257219408,1033
grief,0.490220615,99
chronic,-0.484761956,32
illness,-0.004272018,72
affect,-0.106959087,37
friendships,-0.856131775,19
perception,0.429051929,34
self,0.189355885,352
inspired,0.408903667,451
personal,-0.122059824,272
lack,-0.067649671,144
representation,0.364625652,162
